bioguide_id,name,state,party,chamber,district,key_vote_score,ideology_score,inverse_ideology_score,p2_combined,coverage_type
S383,Dan Sullivan,AK,R,senate,,0.0,0.7316712278778527,0.26832877212214734,0.107332,both
S288,Lisa Murkowski,AK,R,senate,,0.0,0.5085020041083042,0.49149799589169585,0.196599,both
A000055,Robert B. Aderholt,AL,R,house,4,0.0,0.6535256489711704,0.3464743510288296,0.13859,both
M001212,Barry Moore,AL,R,house,1,0.0,0.8758294332991221,0.1241705667008779,0.049668,both
P000609,Gary J. Palmer,AL,R,house,6,0.0,0.6717926983916678,0.3282073016083322,0.131283,both
R000575,Mike Rogers,AL,R,house,3,0.0,0.6332267962431677,0.3667732037568323,0.146709,both
S001185,Terri A. Sewell,AL,D,house,7,1.0,0.28052519948769644,0.7194748005123035,0.88779,both
S412,Tommy Tuberville,AL,R,senate,,0.0,0.8733486632666839,0.12665133673331608,0.050661,both
C001087,"Eric A. ""Rick"" Crawford",AR,R,house,1,0.0,0.6925715371944997,0.3074284628055003,0.122971,both
H001072,J. French Hill,AR,R,house,2,0.0,0.6397148107791072,0.3602851892208928,0.144114,both
S343,John Boozman,AR,R,senate,,0.0,0.7637802728824525,0.23621972711754746,0.094488,both
S374,Tom Cotton,AR,R,senate,,0.0,0.8861851912962895,0.11381480870371052,0.045526,both
W000821,Bruce Westerman,AR,R,house,4,0.0,0.6581950499617869,0.3418049500382131,0.136722,both
W000809,Steve Womack,AR,R,house,3,0.0,0.6212762752693527,0.3787237247306473,0.151489,both
B001302,Andy Biggs,AZ,R,house,5,0.0,0.815626545493244,0.18437345450675602,0.073749,both
G000574,Ruben Gallego,AZ,D,senate,,1.0,0.4310969401438865,0.5689030598561136,0.827561,both
G000565,Paul A. Gosar,AZ,R,house,9,0.0,0.8031800806880272,0.19681991931197285,0.078728,both
S406,Mark Kelly,AZ,D,senate,,1.0,0.47537644466020024,0.5246235553397998,0.809849,both
S001183,David Schweikert,AZ,R,house,1,0.0,0.5672998318868161,0.4327001681131839,0.17308,both
S001211,Greg Stanton,AZ,D,house,4,1.0,0.35997183837519214,0.6400281616248078,0.856011,both
A000371,Pete Aguilar,CA,D,house,33,1.0,0.24183726988177742,0.7581627301182225,0.903265,both
S413,Alex Padilla,CA,D,senate,,1.0,0.10078204940568498,0.899217950594315,0.959687,both
B001300,Nanette Diaz Barragán,CA,D,house,44,1.0,0.12722175007887074,0.8727782499211293,0.949111,both
B001287,Ami Bera,CA,D,house,6,1.0,0.3393335590234381,0.6606664409765619,0.864267,both
B001285,Julia Brownley,CA,D,house,26,1.0,0.24103128080114317,0.7589687191988568,0.903587,both
C000059,Ken Calvert,CA,R,house,41,0.0,0.6542136321132023,0.34578636788679773,0.138315,both
C001112,Salud O. Carbajal,CA,D,house,24,1.0,0.2994614141277025,0.7005385858722974,0.880215,both
C001080,Judy Chu,CA,D,house,28,1.0,0.1261127657895432,0.8738872342104568,0.949555,both
C001110,J. Luis Correa,CA,D,house,46,1.0,0.34041895696405444,0.6595810430359456,0.863832,both
C001059,Jim Costa,CA,D,house,21,1.0,0.3827245849356345,0.6172754150643656,0.84691,both
D000623,Mark DeSaulnier,CA,D,house,10,1.0,0.14036554299234213,0.8596344570076578,0.943854,both
G000559,John Garamendi,CA,D,house,8,1.0,0.24946592877341636,0.7505340712265837,0.900214,both
G000585,Jimmy Gomez,CA,D,house,34,1.0,0.18870954979983848,0.8112904502001616,0.924516,both
H001090,Josh Harder,CA,D,house,9,1.0,0.4571023498622507,0.5428976501377494,0.817159,both
H001068,Jared Huffman,CA,D,house,2,1.0,0.17689412732255777,0.8231058726774423,0.929242,both
I000056,Darrell Issa,CA,R,house,48,0.0,0.6334020512533883,0.36659794874661167,0.146639,both
J000305,Sara Jacobs,CA,D,house,51,1.0,0.17731880728113747,0.8226811927188625,0.929072,both
K000389,Ro Khanna,CA,D,house,17,1.0,0.20124137270553488,0.7987586272944651,0.919503,both
K000397,Young Kim,CA,R,house,40,0.0,0.5903713609908038,0.4096286390091962,0.163851,both
L000593,Mike Levin,CA,D,house,49,1.0,0.2733682673058759,0.7266317326941241,0.890653,both
L000582,Ted Lieu,CA,D,house,36,1.0,0.20276852499652295,0.797231475003477,0.918893,both
L000397,Zoe Lofgren,CA,D,house,18,1.0,0.2785335288120985,0.7214664711879015,0.888587,both
M001163,Doris O. Matsui,CA,D,house,7,1.0,0.24509328495024651,0.7549067150497535,0.901963,both
M001177,Tom McClintock,CA,R,house,5,0.0,0.6313146581424308,0.3686853418575692,0.147474,both
O000019,Jay Obernolte,CA,R,house,23,0.0,0.6297561561479477,0.37024384385205233,0.148098,both
P000613,Jimmy Panetta,CA,D,house,19,1.0,0.4326116021980656,0.5673883978019344,0.826955,both
P000197,Nancy Pelosi,CA,D,house,11,1.0,0.3332104735898956,0.6667895264101045,0.866716,both
P000608,Scott H. Peters,CA,D,house,50,1.0,0.31384916769381915,0.6861508323061809,0.87446,both
R000599,Raul Ruiz,CA,D,house,25,1.0,0.2916423948403468,0.7083576051596532,0.883343,both
S001150,Adam B. Schiff,CA,D,senate,,1.0,0.30736584641852616,0.6926341535814738,0.877054,both
S000344,Brad Sherman,CA,D,house,32,1.0,0.3004389234146282,0.6995610765853718,0.879824,both
S001156,Linda T. Sánchez,CA,D,house,38,1.0,0.20693994414782657,0.7930600558521734,0.917224,both
T000472,Mark Takano,CA,D,house,39,1.0,0.13287211666146934,0.8671278833385306,0.946851,both
T000460,Mike Thompson,CA,D,house,4,1.0,0.32286148185476954,0.6771385181452305,0.870855,both
T000474,Norma J. Torres,CA,D,house,35,1.0,0.2685547992655861,0.7314452007344139,0.892578,both
V000129,David G. Valadao,CA,R,house,22,0.0,0.6550095178546068,0.3449904821453932,0.137996,both
V000130,Juan Vargas,CA,D,house,52,1.0,0.18813388318667443,0.8118661168133255,0.924746,both
W000187,Maxine Waters,CA,D,house,43,1.0,0.21039160731435574,0.7896083926856443,0.915843,both
B000825,Lauren Boebert,CO,R,house,4,0.0,0.8110802753789594,0.18891972462104056,0.075568,both
C001121,Jason Crow,CO,D,house,6,1.0,0.41935411141166745,0.5806458885883325,0.832258,both
D000197,Diana DeGette,CO,D,house,1,1.0,0.2218123463429192,0.7781876536570809,0.911275,both
S408,John Hickenlooper,CO,D,senate,,1.0,0.406969625325728,0.593030374674272,0.837212,both
S330,Michael Bennet,CO,D,senate,,1.0,0.35938744324190247,0.6406125567580976,0.856245,both
N000191,Joe Neguse,CO,D,house,2,1.0,0.3983671005410856,0.6016328994589144,0.840653,both
S364,Christopher Murphy,CT,D,senate,,1.0,0.19555716221292938,0.8044428377870706,0.921777,both
C001069,Joe Courtney,CT,D,house,2,1.0,0.32626597601527346,0.6737340239847265,0.869494,both
D000216,Rosa L. DeLauro,CT,D,house,3,1.0,0.2519501073129446,0.7480498926870554,0.89922,both
H001081,Jahana Hayes,CT,D,house,5,1.0,0.13859054430807607,0.861409455691924,0.944564,both
H001047,James A. Himes,CT,D,house,4,1.0,0.32479438000736194,0.6752056199926381,0.870082,both
L000557,John B. Larson,CT,D,house,1,1.0,0.2481411895028906,0.7518588104971093,0.900744,both
S341,Richard Blumenthal,CT,D,senate,,1.0,0.07808797946930876,0.9219120205306912,0.968765,both
B001303,Lisa Blunt Rochester,DE,D,senate,,1.0,0.38169450172879893,0.6183054982712011,0.847322,both
S337,Christopher Coons,DE,D,senate,,0.5,0.3997639183268767,0.6002360816731234,0.540094,both
B001257,Gus M. Bilirakis,FL,R,house,12,0.0,0.7247604499500513,0.2752395500499487,0.110096,both
B001260,Vern Buchanan,FL,R,house,16,0.0,0.6596840083712348,0.34031599162876525,0.136126,both
C001039,Kat Cammack,FL,R,house,3,0.0,0.7536752557031324,0.24632474429686757,0.09853,both
C001066,Kathy Castor,FL,D,house,14,1.0,0.26215159396776827,0.7378484060322317,0.895139,both
D000600,Mario Diaz-Balart,FL,R,house,26,0.5,0.5813451655967788,0.41865483440322115,0.467462,both
D000032,Byron Donalds,FL,R,house,19,0.0,0.9017816621867238,0.09821833781327616,0.039287,both
D000628,Neal P. Dunn,FL,R,house,2,0.0,0.7320453226450382,0.2679546773549618,0.107182,both
F000462,Lois Frankel,FL,D,house,22,1.0,0.2687420476620566,0.7312579523379434,0.892503,both
F000472,Scott Franklin,FL,R,house,18,0.0,0.777456333918782,0.222543666081218,0.089017,both
G000593,Carlos A. Gimenez,FL,R,house,28,0.5,0.6791580390048613,0.32084196099513873,0.428337,both
M001199,Brian J. Mast,FL,R,house,21,0.0,0.6907052039535779,0.30929479604642207,0.123718,both
S404,Rick Scott,FL,R,senate,,0.0,1.0,0.0,0.0,both
R000609,John H. Rutherford,FL,R,house,5,0.0,0.7663391563072965,0.23366084369270346,0.093464,both
S000168,Maria Elvira Salazar,FL,R,house,27,0.5,0.6405053689304443,0.3594946310695557,0.443798,both
S001200,Darren Soto,FL,D,house,9,1.0,0.32040437921045706,0.6795956207895429,0.871838,both
S001214,W. Gregory Steube,FL,R,house,17,0.0,0.8891013278799689,0.11089867212003113,0.044359,both
W000797,Debbie Wasserman Schultz,FL,D,house,25,1.0,0.2951450507881944,0.7048549492118056,0.881942,both
W000806,Daniel Webster,FL,R,house,11,0.0,0.7467944350980494,0.25320556490195056,0.101282,both
W000808,Frederica S. Wilson,FL,D,house,24,1.0,0.17241425996275075,0.8275857400372493,0.931034,both
A000372,Rick W. Allen,GA,R,house,12,0.0,0.729382762594728,0.270617237405272,0.108247,both
B000490,"Sanford D. Bishop, Jr.",GA,D,house,2,1.0,0.3735468203935735,0.6264531796064265,0.850581,both
C001103,"Earl L. ""Buddy"" Carter",GA,R,house,1,0.0,0.800199149408421,0.19980085059157904,0.07992,both
C001116,Andrew S. Clyde,GA,R,house,9,0.0,0.7059168313086243,0.29408316869137574,0.117633,both
J000288,"Henry C. ""Hank"" Johnson, Jr.",GA,D,house,4,1.0,0.09893932286264027,0.9010606771373597,0.960424,both
S414,Jon Ossoff,GA,D,senate,,1.0,0.4402663296818987,0.5597336703181013,0.823893,both
L000583,Barry Loudermilk,GA,R,house,11,0.0,0.683761467544444,0.316238532455556,0.126495,both
M001208,Lucy McBath,GA,D,house,6,1.0,0.2709863614728177,0.7290136385271824,0.891605,both
S415,Raphael Warnock,GA,D,senate,,1.0,0.5631835052777111,0.4368164947222889,0.774727,both
S001189,Austin Scott,GA,R,house,8,0.0,0.6754324222197459,0.32456757778025414,0.129827,both
